type Count,3,,,,,
bonding pad size width,80,,,,,
bonding pad size height,580,,,,,
pin information,,,,,,
pin thickness,33,,,,,
short pin length,650,,,,,
long pin length,0,,,,,
dut information,,,,,,
minium pad pitch,110,,,,,
Align Mark Length Horizental,150,,,,,
Align Mark Length Vertical,150,,,,,
substrate align mark coodination,X,Y,,,,
1,106066.017,106066.017,,,,
2,-106066.017,106066.017,,,,
3,-106066.017,-106066.017,,,,
4,106066.017,-106066.017,,,,
substrate dut coodination,X,Y,Type,,,
1,14283.824,139355.652,Type1,,,
2,7832.117,139355.652,Type2,,,
3,1380.41,139355.652,Type2,,,
4,-5071.297,139355.652,Type2,,,
5,-11523.004,139355.652,Type2,,,
6,-17974.711,139355.652,Type2,,,
7,-24426.418,139355.652,Type3,,,
8,46542.359,129730.488,Type1,,,
9,40090.652,129730.488,Type2,,,
10,33638.945,129730.488,Type2,,,
11,27187.238,129730.488,Type2,,,
12,20735.531,129730.488,Type2,,,
13,14283.824,129730.488,Type2,,,
14,7832.117,129730.488,Type2,,,
15,1380.41,129730.488,Type2,,,
16,-5071.297,129730.488,Type2,,,
17,-11523.004,129730.488,Type2,,,
18,-17974.711,129730.488,Type2,,,
19,-24426.418,129730.488,Type2,,,
20,-30878.125,129730.488,Type2,,,
21,-37329.832,129730.488,Type2,,,
22,-43781.539,129730.488,Type2,,,
23,-50233.246,129730.488,Type2,,,
24,-56684.953,129730.488,Type3,,,
25,65897.48,120105.323,Type1,,,
26,59445.773,120105.323,Type2,,,
27,52994.066,120105.323,Type2,,,
28,46542.359,120105.323,Type2,,,
29,40090.652,120105.323,Type2,,,
30,33638.945,120105.323,Type2,,,
31,27187.238,120105.323,Type2,,,
32,20735.531,120105.323,Type2,,,
33,14283.824,120105.323,Type2,,,
34,7832.117,120105.323,Type2,,,
35,1380.41,120105.323,Type2,,,
36,-5071.297,120105.323,Type2,,,
37,-11523.004,120105.323,Type2,,,
38,-17974.711,120105.323,Type2,,,
39,-24426.418,120105.323,Type2,,,
40,-30878.125,120105.323,Type2,,,
41,-37329.832,120105.323,Type2,,,
42,-43781.539,120105.323,Type2,,,
43,-50233.246,120105.323,Type2,,,
44,-56684.953,120105.323,Type2,,,
45,-63136.66,120105.323,Type2,,,
46,-69588.367,120105.323,Type3,,,
47,78800.894,110480.159,Type1,,,
48,72349.187,110480.159,Type2,,,
49,65897.48,110480.159,Type2,,,
50,59445.773,110480.159,Type2,,,
51,52994.066,110480.159,Type2,,,
52,46542.359,110480.159,Type2,,,
53,40090.652,110480.159,Type2,,,
54,33638.945,110480.159,Type2,,,
55,27187.238,110480.159,Type2,,,
56,20735.531,110480.159,Type2,,,
57,14283.824,110480.159,Type2,,,
58,7832.117,110480.159,Type2,,,
59,1380.41,110480.159,Type2,,,
60,-5071.297,110480.159,Type2,,,
61,-11523.004,110480.159,Type2,,,
62,-17974.711,110480.159,Type2,,,
63,-24426.418,110480.159,Type2,,,
64,-30878.125,110480.159,Type2,,,
65,-37329.832,110480.159,Type2,,,
66,-43781.539,110480.159,Type2,,,
67,-50233.246,110480.159,Type2,,,
68,-56684.953,110480.159,Type2,,,
69,-63136.66,110480.159,Type2,,,
70,-69588.367,110480.159,Type2,,,
71,-76040.074,110480.159,Type2,,,
72,-82491.781,110480.159,Type2,,,
73,-88943.488,110480.159,Type3,,,
74,91704.308,100854.995,Type1,,,
75,85252.601,100854.995,Type2,,,
76,78800.894,100854.995,Type2,,,
77,72349.187,100854.995,Type2,,,
78,65897.48,100854.995,Type2,,,
79,59445.773,100854.995,Type2,,,
80,52994.066,100854.995,Type2,,,
81,46542.359,100854.995,Type2,,,
82,40090.652,100854.995,Type2,,,
83,33638.945,100854.995,Type2,,,
84,27187.238,100854.995,Type2,,,
85,20735.531,100854.995,Type2,,,
86,14283.824,100854.995,Type2,,,
87,7832.117,100854.995,Type2,,,
88,1380.41,100854.995,Type2,,,
89,-5071.297,100854.995,Type2,,,
90,-11523.004,100854.995,Type2,,,
91,-17974.711,100854.995,Type2,,,
92,-24426.418,100854.995,Type2,,,
93,-30878.125,100854.995,Type2,,,
94,-37329.832,100854.995,Type2,,,
95,-43781.539,100854.995,Type2,,,
96,-50233.246,100854.995,Type2,,,
97,-56684.953,100854.995,Type2,,,
98,-63136.66,100854.995,Type2,,,
99,-69588.367,100854.995,Type2,,,
100,-76040.074,100854.995,Type2,,,
101,-82491.781,100854.995,Type2,,,
102,-88943.488,100854.995,Type2,,,
103,-95395.195,100854.995,Type3,,,
104,104607.722,91229.831,Type1,,,
105,98156.015,91229.831,Type2,,,
106,91704.308,91229.831,Type2,,,
107,85252.601,91229.831,Type2,,,
108,78800.894,91229.831,Type2,,,
109,72349.187,91229.831,Type2,,,
110,65897.48,91229.831,Type2,,,
111,59445.773,91229.831,Type2,,,
112,52994.066,91229.831,Type2,,,
113,46542.359,91229.831,Type2,,,
114,40090.652,91229.831,Type2,,,
115,33638.945,91229.831,Type2,,,
116,27187.238,91229.831,Type2,,,
117,20735.531,91229.831,Type2,,,
118,14283.824,91229.831,Type2,,,
119,7832.117,91229.831,Type2,,,
120,1380.41,91229.831,Type2,,,
121,-5071.297,91229.831,Type2,,,
122,-11523.004,91229.831,Type2,,,
123,-17974.711,91229.831,Type2,,,
124,-24426.418,91229.831,Type2,,,
125,-30878.125,91229.831,Type2,,,
126,-37329.832,91229.831,Type2,,,
127,-43781.539,91229.831,Type2,,,
128,-50233.246,91229.831,Type2,,,
129,-56684.953,91229.831,Type2,,,
130,-63136.66,91229.831,Type2,,,
131,-69588.367,91229.831,Type2,,,
132,-76040.074,91229.831,Type2,,,
133,-82491.781,91229.831,Type2,,,
134,-88943.488,91229.831,Type2,,,
135,-95395.195,91229.831,Type2,,,
136,-101846.902,91229.831,Type2,,,
137,-108298.609,91229.831,Type3,,,
138,111059.429,81604.667,Type1,,,
139,104607.722,81604.667,Type2,,,
140,98156.015,81604.667,Type2,,,
141,91704.308,81604.667,Type2,,,
142,85252.601,81604.667,Type2,,,
143,78800.894,81604.667,Type2,,,
144,72349.187,81604.667,Type2,,,
145,65897.48,81604.667,Type2,,,
146,59445.773,81604.667,Type2,,,
147,52994.066,81604.667,Type2,,,
148,46542.359,81604.667,Type2,,,
149,40090.652,81604.667,Type2,,,
150,33638.945,81604.667,Type2,,,
151,27187.238,81604.667,Type2,,,
152,20735.531,81604.667,Type2,,,
153,14283.824,81604.667,Type2,,,
154,7832.117,81604.667,Type2,,,
155,1380.41,81604.667,Type2,,,
156,-5071.297,81604.667,Type2,,,
157,-11523.004,81604.667,Type2,,,
158,-17974.711,81604.667,Type2,,,
159,-24426.418,81604.667,Type2,,,
160,-30878.125,81604.667,Type2,,,
161,-37329.832,81604.667,Type2,,,
162,-43781.539,81604.667,Type2,,,
163,-50233.246,81604.667,Type2,,,
164,-56684.953,81604.667,Type2,,,
165,-63136.66,81604.667,Type2,,,
166,-69588.367,81604.667,Type2,,,
167,-76040.074,81604.667,Type2,,,
168,-82491.781,81604.667,Type2,,,
169,-88943.488,81604.667,Type2,,,
170,-95395.195,81604.667,Type2,,,
171,-101846.902,81604.667,Type2,,,
172,-108298.609,81604.667,Type2,,,
173,-114750.316,81604.667,Type3,,,
174,117511.136,71979.503,Type1,,,
175,111059.429,71979.503,Type2,,,
176,104607.722,71979.503,Type2,,,
177,98156.015,71979.503,Type2,,,
178,91704.308,71979.503,Type2,,,
179,85252.601,71979.503,Type2,,,
180,78800.894,71979.503,Type2,,,
181,72349.187,71979.503,Type2,,,
182,65897.48,71979.503,Type2,,,
183,59445.773,71979.503,Type2,,,
184,52994.066,71979.503,Type2,,,
185,46542.359,71979.503,Type2,,,
186,40090.652,71979.503,Type2,,,
187,33638.945,71979.503,Type2,,,
188,27187.238,71979.503,Type2,,,
189,20735.531,71979.503,Type2,,,
190,14283.824,71979.503,Type2,,,
