type Count,3,,,,,
bonding pad size width,90,,,,,
bonding pad size height,580,,,,,
pin information,,,,,,
pin thickness,33,,,,,
short pin length,650,,,,,
long pin length,0,,,,,
dut information,,,,,,
minium pad pitch,131,,,,,
Align Mark Length Horizental,150,,,,,
Align Mark Length Vertical,150,,,,,
substrate align mark coodination,X,Y,,,,
1,106066.02,106066.02,,,,
2,-106066.02,106066.02,,,,
3,-106066.02,-106066.02,,,,
4,106066.02,-106066.02,,,,
substrate dut coodination,X,Y,Type,,,
1,23462.54,141086.91,Type1,,,
2,15235.66,141086.91,Type2,,,
3,7008.78,141086.91,Type2,,,
4,-1218.1,141086.91,Type2,,,
5,-9444.98,141086.91,Type2,,,
6,-17671.86,141086.91,Type3,,,
7,39916.3,134807.09,Type1,,,
8,31689.42,134807.09,Type2,,,
9,23462.54,134807.09,Type2,,,
10,15235.66,134807.09,Type2,,,
11,7008.78,134807.09,Type2,,,
12,-1218.1,134807.09,Type2,,,
13,-9444.98,134807.09,Type2,,,
14,-17671.86,134807.09,Type2,,,
15,-25898.74,134807.09,Type2,,,
16,-34125.62,134807.09,Type2,,,
17,-42352.5,134807.09,Type3,,,
18,56370.06,128527.27,Type1,,,
19,48143.18,128527.27,Type2,,,
20,39916.3,128527.27,Type2,,,
21,31689.42,128527.27,Type2,,,
22,23462.54,128527.27,Type2,,,
23,15235.66,128527.27,Type2,,,
24,7008.78,128527.27,Type2,,,
25,-1218.1,128527.27,Type2,,,
26,-9444.98,128527.27,Type2,,,
27,-17671.86,128527.27,Type2,,,
28,-25898.74,128527.27,Type2,,,
29,-34125.62,128527.27,Type2,,,
30,-42352.5,128527.27,Type2,,,
31,-50579.38,128527.27,Type2,,,
32,-58806.26,128527.27,Type3,,,
33,72823.82,122247.45,Type1,,,
34,64596.94,122247.45,Type2,,,
35,56370.06,122247.45,Type2,,,
36,48143.18,122247.45,Type2,,,
37,39916.3,122247.45,Type2,,,
38,31689.42,122247.45,Type2,,,
39,23462.54,122247.45,Type2,,,
40,15235.66,122247.45,Type2,,,
41,7008.78,122247.45,Type2,,,
42,-1218.1,122247.45,Type2,,,
43,-9444.98,122247.45,Type2,,,
44,-17671.86,122247.45,Type2,,,
45,-25898.74,122247.45,Type2,,,
46,-34125.62,122247.45,Type2,,,
47,-42352.5,122247.45,Type2,,,
48,-50579.38,122247.45,Type2,,,
49,-58806.26,122247.45,Type2,,,
50,-67033.14,122247.45,Type3,,,
51,81050.7,115967.63,Type1,,,
52,72823.82,115967.63,Type2,,,
53,64596.94,115967.63,Type2,,,
54,56370.06,115967.63,Type2,,,
55,48143.18,115967.63,Type2,,,
56,39916.3,115967.63,Type2,,,
57,31689.42,115967.63,Type2,,,
58,23462.54,115967.63,Type2,,,
59,15235.66,115967.63,Type2,,,
60,7008.78,115967.63,Type2,,,
61,-1218.1,115967.63,Type2,,,
62,-9444.98,115967.63,Type2,,,
63,-17671.86,115967.63,Type2,,,
64,-25898.74,115967.63,Type2,,,
65,-34125.62,115967.63,Type2,,,
66,-42352.5,115967.63,Type2,,,
67,-50579.38,115967.63,Type2,,,
68,-58806.26,115967.63,Type2,,,
69,-67033.14,115967.63,Type2,,,
70,-75260.02,115967.63,Type3,,,
71,89277.58,109687.81,Type1,,,
72,81050.7,109687.81,Type2,,,
73,72823.82,109687.81,Type2,,,
74,64596.94,109687.81,Type2,,,
75,56370.06,109687.81,Type2,,,
76,48143.18,109687.81,Type2,,,
77,39916.3,109687.81,Type2,,,
78,31689.42,109687.81,Type2,,,
79,23462.54,109687.81,Type2,,,
80,15235.66,109687.81,Type2,,,
81,7008.78,109687.81,Type2,,,
82,-1218.1,109687.81,Type2,,,
83,-9444.98,109687.81,Type2,,,
84,-17671.86,109687.81,Type2,,,
85,-25898.74,109687.81,Type2,,,
86,-34125.62,109687.81,Type2,,,
87,-42352.5,109687.81,Type2,,,
88,-50579.38,109687.81,Type2,,,
89,-58806.26,109687.81,Type2,,,
90,-67033.14,109687.81,Type2,,,
91,-75260.02,109687.81,Type2,,,
92,-83486.9,109687.81,Type3,,,
93,97504.46,103407.99,Type1,,,
94,89277.58,103407.99,Type2,,,
95,81050.7,103407.99,Type2,,,
96,72823.82,103407.99,Type2,,,
97,64596.94,103407.99,Type2,,,
98,56370.06,103407.99,Type2,,,
99,48143.18,103407.99,Type2,,,
100,39916.3,103407.99,Type2,,,
101,31689.42,103407.99,Type2,,,
102,23462.54,103407.99,Type2,,,
103,15235.66,103407.99,Type2,,,
104,7008.78,103407.99,Type2,,,
105,-1218.1,103407.99,Type2,,,
106,-9444.98,103407.99,Type2,,,
107,-17671.86,103407.99,Type2,,,
108,-25898.74,103407.99,Type2,,,
109,-34125.62,103407.99,Type2,,,
110,-42352.5,103407.99,Type2,,,
111,-50579.38,103407.99,Type2,,,
112,-58806.26,103407.99,Type2,,,
113,-67033.14,103407.99,Type2,,,
114,-75260.02,103407.99,Type2,,,
115,-83486.9,103407.99,Type2,,,
116,-91713.78,103407.99,Type3,,,
117,97504.46,97128.17,Type1,,,
118,89277.58,97128.17,Type2,,,
119,81050.7,97128.17,Type2,,,
120,72823.82,97128.17,Type2,,,
121,64596.94,97128.17,Type2,,,
122,56370.06,97128.17,Type2,,,
123,48143.18,97128.17,Type2,,,
124,39916.3,97128.17,Type2,,,
125,31689.42,97128.17,Type2,,,
126,23462.54,97128.17,Type2,,,
127,15235.66,97128.17,Type2,,,
128,7008.78,97128.17,Type2,,,
129,-1218.1,97128.17,Type2,,,
130,-9444.98,97128.17,Type2,,,
131,-17671.86,97128.17,Type2,,,
132,-25898.74,97128.17,Type2,,,
133,-34125.62,97128.17,Type2,,,
134,-42352.5,97128.17,Type2,,,
135,-50579.38,97128.17,Type2,,,
136,-58806.26,97128.17,Type2,,,
137,-67033.14,97128.17,Type2,,,
138,-75260.02,97128.17,Type2,,,
139,-83486.9,97128.17,Type2,,,
140,-91713.78,97128.17,Type2,,,
141,-99940.66,97128.17,Type3,,,
142,105731.34,90848.35,Type1,,,
143,97504.46,90848.35,Type2,,,
144,89277.58,90848.35,Type2,,,
145,81050.7,90848.35,Type2,,,
146,72823.82,90848.35,Type2,,,
147,64596.94,90848.35,Type2,,,
148,56370.06,90848.35,Type2,,,
149,48143.18,90848.35,Type2,,,
150,39916.3,90848.35,Type2,,,
151,31689.42,90848.35,Type2,,,
152,23462.54,90848.35,Type2,,,
153,15235.66,90848.35,Type2,,,
