Time,Type,DutNo,PinNo,Result,ErrorCode,Final X,Final Y,Graph Final X,Graph Final Y, Xsd, Ysd, Xma, Yma, Xsds, Ysds, ProbeLotNo
2026-01-12 16:01:44.0725,903,31,1,0,-0.73,0.28,0.73,-0.28,0,0,0.731249994412065,-0.281950002722442,0,0,HIES 250600529 
2026-01-12 16:01:55.4111,904,18,1,0,2.09,0.01,-2.09,-0.01,1.40937499236315,0.137700000777841,-0.67812499795109,-0.144250001944602,1.40937499236315,0.137700000777841,HIES 250600529 
2026-01-12 16:03:05.4413,904,19,1,0,-0.11,0.21,0.11,-0.21,1.20960062198201,0.117022498497992,-0.414583332712452,-0.167200002074242,1.20960062198201,0.117022498497992,HIES 250600529 
2026-01-12 16:03:13.3177,904,20,1,0,-0.11,-0.20,0.11,0.20,1.07211981863597,0.188553491486256,-0.282812500093132,-0.0754000015556812,1.07211981863597,0.188553491486256,HIES 250600529 
2026-01-12 16:03:22.0528,904,21,1,0,1.06,0.35,-1.06,-0.35,1.00760389737106,0.201437734941656,-0.437499999254942,-0.130480001866817,1.00760389737106,0.201437734941656,HIES 250600529 
2026-01-12 16:03:30.0220,904,22,1,0,0.78,1.52,-0.78,-1.52,0.928690666207265,0.549962647860801,-0.494791665611168,-0.362275003176182,0.928690666207265,0.549962647860801,HIES 250600529 
2026-01-12 16:03:37.9783,904,23,1,0,-0.39,1.59,0.39,-1.59,0.913551248596744,0.666219916435444,-0.368749999627471,-0.537678575595575,0.913551248596744,0.666219916435444,HIES 250600529 
2026-01-12 16:03:46.0357,904,24,1,0,0.99,0.83,-0.99,-0.83,0.878708306282991,0.630785878360451,-0.446093749208376,-0.574562504375353,0.878708306282991,0.630785878360451,HIES 250600529 
2026-01-12 16:03:53.9914,904,25,1,0,-0.25,0.70,0.25,-0.70,0.856850453916396,0.595914871447211,-0.368749999627471,-0.587950004450977,0.856850453916396,0.595914871447211,HIES 250600529 
2026-01-12 16:04:02.0075,904,26,1,0,0.23,0.42,-0.23,-0.42,0.81392566787184,0.567584637511933,-0.354999999701977,-0.571120004355907,0.81392566787184,0.567584637511933,HIES 250600529 
2026-01-12 16:04:09.9453,904,27,1,0,-0.04,0.01,0.04,-0.01,0.784468366685926,0.564984810491066,-0.318749999898401,-0.519795458611439,0.784468366685926,0.564984810491066,HIES 250600529 
2026-01-12 16:04:17.7225,904,28,1,0,0.44,0.21,-0.44,-0.21,0.751788048244057,0.547533088137776,-0.328645833178113,-0.494237503921613,0.751788048244057,0.547533088137776,HIES 250600529 
2026-01-12 16:04:25.6049,904,29,1,0,-0.18,0.76,0.18,-0.76,0.734962975099672,0.530937775152746,-0.289423076980389,-0.514980773269557,0.734962975099672,0.530937775152746,HIES 250600529 
2026-01-12 16:04:33.5846,904,30,1,0,0.23,0.83,-0.23,-0.83,0.708386489389818,0.518128403558172,-0.285267857222685,-0.537678575595575,0.708386489389818,0.518128403558172,HIES 250600529 
